sjve,postcode
3937.456066945607,1011
9553.085616438357,1012
3559.265243902439,1013
9923.388888888889,1014
3162.154970760234,1015
4394.976744186047,1016
6781.149717514124,1017
3249.137026239067,1018
4086.8549618320612,1019
2983.9277108433735,1021
3148.5,1022
2797.9241379310347,1023
2791.809364548495,1024
3213.121301775148,1025
6056.8,1026
6368.2,1027
6029.666666666667,1028
3220.251612903226,1031
3879.2114285714288,1032
3949.7120743034056,1033
2879.3130990415334,1034
3528.285714285714,1035
3841.9523809523807,1036
4045.6666666666665,1037
17893.75,1041
21270.625,1042
13442.166666666666,1043
13727.0,1044
11797.333333333334,1045
14371.59090909091,1046
10920.714285714286,1047
2678.1947565543073,1051
2479.654929577465,1052
2797.893175074184,1053
3438.973293768546,1054
2308.765171503958,1055
2345.2523364485983,1056
2314.675675675676,1057
2473.332155477032,1058
3123.284671532847,1059
4027.67,1060
2958.450980392157,1061
3146.2321428571427,1062
2884.921768707483,1063
2378.744927536232,1064
2964.2625,1065
3513.4647887323945,1066
3082.634285714286,1067
2988.4744744744744,1068
3061.1981707317073,1069
5878.517615176152,1071
3255.909722222222,1072
2636.956043956044,1073
2816.6473988439307,1074
4391.44061302682,1075
2837.228,1076
5000.819672131148,1077
2969.182890855457,1078
2517.2920110192836,1079
4215.511811023622,1081
2963.9964157706095,1082
2838.4795321637425,1083
4350.818181818182,1086
4563.123076923077,1087
2601.3766233766232,1091
2542.3654822335025,1092
3215.901098901099,1093
2465.4192307692306,1094
2838.7169811320755,1095
7992.636363636364,1096
2442.8523676880222,1097
3454.559210526316,1098
15901.0,1099
13124.833333333334,1101
3808.4832713754645,1102
3801.4794520547944,1103
3421.5061728395062,1104
13526.833333333334,1105
3129.102102102102,1106
2775.268292682927,1107
2791.039603960396,1108
3460.294117647059,1109
